date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,5DaySMA,20DaySMA
2023-08-08,446.64,452.42,440.5601,448.53,35384343,446.6020405822,452.3815493466,440.5226573059,448.4918799533,35384343,0.0,1.0,447.08899999999994,455.69125
2023-08-09,425.54,443.12,421.34,442.74,58644907,425.5038338468,443.0823397429,421.3041908,442.7023720387,58644907,0.0,1.0,443.659,455.01725
2023-08-10,423.88,435.74,418.35,421.6,49270530,423.8439749283,435.7029669606,418.3144449166,421.5641687029,49270530,0.0,1.0,439.40500000000003,453.22275
2023-08-11,408.55,420.18,406.39,417.51,53308526,408.5152778073,420.144289387,406.3554613832,417.4745163072,53308526,0.0,1.0,431.755,450.91574999999995
2023-08-14,437.53,438.0,403.11,404.86,69028583,437.4928148306,437.9627748858,403.0757401466,404.8255914161,69028583,0.0,1.0,428.42800000000005,449.56175
2023-08-15,439.4,452.68,437.1,445.6,67651151,439.3626559014,452.6415272495,437.0628513758,445.5621289706,67651151,0.0,1.0,426.98,447.78475
2023-08-16,434.86,446.75,434.06,445.2,52745068,434.8230417508,446.7120312334,434.0231097418,445.1621629661,52745068,0.0,1.0,428.84400000000005,445.98924999999997
2023-08-17,433.435,440.62,430.01,439.7,45239482,433.3981628599,440.582552215,429.9734539467,439.6626304048,45239482,0.0,1.0,430.755,444.901
2023-08-18,432.99,435.7799,416.6,426.35,58376787,432.9532006799,435.7428635695,416.5645936471,426.3137650058,58376787,0.0,1.0,435.64300000000003,444.396
2023-08-21,469.67,470.65,442.22,444.94,69257337,469.6300832891,470.61,442.1824162329,444.9021850632,69257337,0.0,1.0,442.071,445.57349999999997
2023-08-22,456.68,481.87,453.331,481.35,75720691,456.6411872942,481.8290464252,453.2924719218,481.3090906194,75720691,0.0,1.0,445.52699999999993,445.56800000000004
2023-08-23,471.16,472.0,452.08,458.66,77904608,471.1199566557,471.9598852651,452.0415782429,458.6210190163,77904608,0.0,1.0,452.787,446.4
2023-08-24,471.63,502.66,471.59,502.16,115604409,471.5899167109,502.6172795071,471.5499201105,502.1173220015,115604409,0.0,1.0,460.42600000000004,447.03150000000005
2023-08-25,460.18,478.05,450.24,470.12,92534052,460.1408898332,478.0093710825,450.2017346223,470.0800450441,92534052,0.0,1.0,465.86400000000003,446.66549999999995
2023-08-28,468.35,469.8,448.88,464.82,68519223,468.3101954743,469.7600722405,448.8418502072,464.780495485,68519223,0.0,1.0,465.6,446.71849999999995
2023-08-29,487.84,490.81,463.9101,466.66,70139699,487.7985390418,490.7682866249,463.8706728163,466.6203391055,70139699,0.0,1.0,471.832,447.85699999999997
2023-08-30,492.64,499.27,484.25,490.44,73520598,492.5981310953,499.2275676193,484.2088441517,490.3983180708,73520598,0.0,1.0,476.12800000000004,450.35450000000003
2023-08-31,493.55,497.44,489.58,493.8,52856977,493.5080537554,497.3977231488,489.5383911612,493.7580325082,52856977,0.0,1.0,480.512,452.7745
2023-09-01,485.09,498.0,481.416,497.62,46383030,485.0487727611,497.9576755551,481.3750850101,497.5777078508,46383030,0.0,1.0,485.49399999999997,454.689
2023-09-05,485.48,488.5081,478.6,482.23,38265258,485.4387396154,488.4665822607,478.5593243387,482.1890158292,38265258,0.0,1.0,488.91999999999996,456.25474999999994
2023-09-06,470.61,485.49,465.8,484.41,46866957,470.61,485.49,465.8,484.41,46866957,0.04,1.0,485.474,457.45325
2023-09-07,462.41,463.44,451.52,455.25,43332989,462.41,463.44,451.52,455.25,43332989,0.0,1.0,479.428,459.2967500000001
2023-09-08,455.72,466.06,452.71,459.42,47389994,455.72,466.06,452.71,459.42,47389994,0.0,1.0,471.86199999999997,460.88874999999996
2023-09-11,451.78,461.63,443.12,461.48,47396555,451.78,461.63,443.12,461.48,47396555,0.0,1.0,465.2,463.05025000000006
2023-09-12,448.7,456.73,445.31,447.38,34925634,448.7,456.73,445.31,447.38,34925634,0.0,1.0,457.84399999999994,463.60875
2023-09-13,454.85,459.3,445.03,446.0,39835535,454.85,459.3,445.03,446.0,39835535,0.0,1.0,454.692,464.38125
2023-09-14,455.81,459.8699,451.31,459.5,37009720,455.81,459.8699,451.31,459.5,37009720,0.0,1.0,453.372,465.4287499999999
2023-09-15,439.0,455.99,438.08,453.41,50683051,439.0,455.99,438.08,453.41,50683051,0.0,1.0,450.02799999999996,465.707
2023-09-18,439.66,442.42,420.0,427.48,50027079,439.66,442.42,420.0,427.48,50027079,0.0,1.0,447.604,466.04050000000007
2023-09-19,435.2,439.66,430.02,438.33,37306424,435.2,439.66,430.02,438.33,37306424,0.0,1.0,444.904,464.317
2023-09-20,422.39,439.03,422.23,436.0,36710769,422.39,439.03,422.23,436.0,36710769,0.0,1.0,438.412,462.60249999999996
